year,hue,saturation,lightness,steps,code,
0,60,255,255,0,-256,yellow
1,54,255,255,9,-6656,
2,48,255,255,8,-13312,
3,42,255,255,7,-19712,
4,36,255,255,6,-26368,
5,30,255,255,5,-32768,
6,24,255,255,4,-39424,
7,18,255,255,3,-45824,
8,12,255,255,2,-52480,
9,6,255,255,1,-58880,
10,0,255,255,0,-65536,red
11,0,229.5,229.5,9,-1698025,
12,0,204,204,8,-3397335,
13,0,178.5,178.5,7,-5032651,
14,0,153,153,6,-6734531,
15,0,127.5,127.5,5,-8372160,
16,0,102,102,4,-10076867,
17,0,76.5,76.5,3,-11717066,
18,0,51,51,2,-13424343,
19,0,25.5,25.5,1,-15067369,
20,0,0,0,0,-16777216,black
