count,hue,saturation,value,steps,code,
0,360,255,255,0,-65536,red
1,354,242.2,255,1,-62171,
2,348,229.4,255,2,-58808,
3,342,216.6,255,3,-55448,
4,336,203.8,255,4,-52347,
5,330,191,255,5,-48992,
6,324,178.2,255,6,-45640,
7,318,165.4,255,7,-42291,
8,312,152.6,255,8,-38943,
9,306,139.8,255,9,-35599,
10,300,128,255,10,-32769,magenta
11,294,139.8,255,9,-953089,
12,288,152.6,255,8,-2004993,
13,282,165.4,255,7,-3253505,
14,276,178.2,255,6,-4698625,
15,270,191,255,5,-6274817,
16,264,203.8,255,4,-8047361,
17,258,216.6,255,3,-9951233,
18,252,229.4,255,2,-12051713,
19,246,242.2,255,1,-14348801,
20,240,255,255,0,-16776961,blue
